iter	Passed	Remaining
0	2	227
1	4	198
2	5	187
3	7	173
4	9	174
5	10	168
6	12	162
7	13	159
8	15	156
9	17	153
10	18	150
11	20	148
12	21	145
13	23	144
14	25	142
15	26	140
16	28	139
17	30	138
18	32	136
19	33	135
20	35	134
21	37	132
22	39	131
23	41	130
24	43	129
25	45	130
26	47	128
27	48	125
28	50	123
29	51	120
30	53	118
31	54	115
32	55	113
33	57	110
34	58	108
35	59	105
36	60	103
37	61	100
38	62	97
39	63	95
40	64	93
41	65	90
42	66	87
43	67	85
44	68	83
45	69	81
46	70	79
47	71	77
48	72	75
49	73	73
50	74	71
51	74	69
52	75	67
53	76	65
54	77	63
55	77	61
56	78	59
57	79	57
58	80	55
59	80	53
60	81	52
61	82	50
62	82	48
63	83	46
64	84	45
65	84	43
66	85	42
67	86	40
68	86	38
69	87	37
70	87	35
71	88	34
72	89	32
73	89	31
74	90	30
75	90	28
76	91	27
77	92	25
78	92	24
79	93	23
80	93	22
81	94	20
82	95	19
83	95	18
84	96	16
85	96	15
86	97	14
87	98	13
88	98	12
89	99	11
90	99	9
91	100	8
92	101	7
93	101	6
94	102	5
95	102	4
96	103	3
97	104	2
98	104	1
99	105	0
